run_id,evaldir,meta_hash,suite,checkpoint,device,episodes,seeds,policy,baseline_kind,ablations,model_config_hash
robust-line-disorder_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_9144b899,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/main,9144b899d4a4ea70f9914b2a0921ee7d,robust-line-disorder,runs/robust-line-disorder/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",0b27b3524a45251e82a1fbf9989a3dca
robust-line-disorder_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_d80ed609,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed0/robust_sweep,d80ed60944dbac2b325b9f722ff97dba,robust-line-disorder,runs/robust-line-disorder/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",0b27b3524a45251e82a1fbf9989a3dca
robust-line-disorder_ckpt_seed1_256_0_1_2_3_4_5_6_7_8_9_0ecc3c05,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed1/robust_sweep,0ecc3c05f95a71159d8efc02bda3b08f,robust-line-disorder,runs/robust-line-disorder/seed1,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",0b27b3524a45251e82a1fbf9989a3dca
robust-line-disorder_ckpt_seed1_256_0_1_2_3_4_5_6_7_8_9_e4ba29d5,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed1/main,e4ba29d5a2bce312b777b279f8ed5daf,robust-line-disorder,runs/robust-line-disorder/seed1,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",0b27b3524a45251e82a1fbf9989a3dca
robust-line-disorder_ckpt_seed2_256_0_1_2_3_4_5_6_7_8_9_483ec6f5,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed2/robust_sweep,483ec6f5c4ee03846991bd0853d00fd3,robust-line-disorder,runs/robust-line-disorder/seed2,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",0b27b3524a45251e82a1fbf9989a3dca
robust-line-disorder_ckpt_seed2_256_0_1_2_3_4_5_6_7_8_9_cda5ad13,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/robust-line-disorder/seed2/main,cda5ad13196c9dccf5904b79effcdc00,robust-line-disorder,runs/robust-line-disorder/seed2,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",0b27b3524a45251e82a1fbf9989a3dca
search-grid_baseline_ckpt_256_0_1_2_3_4_5_6_7_8_9_be386e4e,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/search-grid/baseline/hadamard,be386e4e7231a5a9bd595c75c4170bdb,search-grid,,cpu,256,"0,1,2,3,4,5,6,7,8,9",baseline,hadamard,,6a048fda6506675c6c25b94d26b65d46
search-grid_ckpt_seed0_256_0_1_2_3_4_5_6_7_8_9_a24bc734,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/search-grid/seed0/main,a24bc7341b4cda7ba03da4e6543c4b2e,search-grid,runs/search-grid/seed0,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",3ae5bfc53adcd95c67c98abf8415421c
search-grid_ckpt_seed1_256_0_1_2_3_4_5_6_7_8_9_b13e14a8,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/search-grid/seed1/main,b13e14a8d5507953095db4fb24958fd9,search-grid,runs/search-grid/seed1,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",cd233c1fb90f583155753438c7e1ade2
search-grid_ckpt_seed2_256_0_1_2_3_4_5_6_7_8_9_ca061395,/mnt/c/Users/Angel/Desktop/CS598/acpl-qwalk/eval/search-grid/seed2/main,ca06139561a950fd27c8f761af5db9cd,search-grid,runs/search-grid/seed2,cpu,256,"0,1,2,3,4,5,6,7,8,9",ckpt,,"NoPE,GlobalCoin,TimeFrozen,NodePermute",cd233c1fb90f583155753438c7e1ade2
